Version,Metric,BlockSize,Time(ms)
cuda_kmeans_naive,total,32,6477.876902
cuda_kmeans_naive,total,48,6429.064035
cuda_kmeans_naive,total,64,6459.470034
cuda_kmeans_naive,total,128,6419.737101
cuda_kmeans_naive,total,238,6468.386889
cuda_kmeans_naive,total,512,6428.836107
cuda_kmeans_naive,total,1024,6474.828959
cuda_kmeans_naive,t_alloc,32,11.272907
cuda_kmeans_naive,t_alloc,48,11.214972
cuda_kmeans_naive,t_alloc,64,11.286974
cuda_kmeans_naive,t_alloc,128,11.195898
cuda_kmeans_naive,t_alloc,238,11.274099
cuda_kmeans_naive,t_alloc,512,11.219978
cuda_kmeans_naive,t_alloc,1024,11.27696
cuda_kmeans_naive,t_alloc_gpu,32,746.948957
cuda_kmeans_naive,t_alloc_gpu,48,727.962017
cuda_kmeans_naive,t_alloc_gpu,64,745.15295
cuda_kmeans_naive,t_alloc_gpu,128,750.602007
cuda_kmeans_naive,t_alloc_gpu,238,740.306854
cuda_kmeans_naive,t_alloc_gpu,512,738.578081
cuda_kmeans_naive,t_alloc_gpu,1024,719.536781
cuda_kmeans_naive,t_get_gpu,32,243.8941
cuda_kmeans_naive,t_get_gpu,48,242.607832
cuda_kmeans_naive,t_get_gpu,64,243.895054
cuda_kmeans_naive,t_get_gpu,128,242.947102
cuda_kmeans_naive,t_get_gpu,238,243.79611
cuda_kmeans_naive,t_get_gpu,512,242.992163
cuda_kmeans_naive,t_get_gpu,1024,243.624926
cuda_kmeans_transpose,total,32,2650.656939
cuda_kmeans_transpose,total,48,2887.549162
cuda_kmeans_transpose,total,64,2835.087061
cuda_kmeans_transpose,total,128,2826.05505
cuda_kmeans_transpose,total,238,2812.603951
cuda_kmeans_transpose,total,512,2814.953804
cuda_kmeans_transpose,total,1024,2806.399107
cuda_kmeans_transpose,t_alloc,32,1094.1329
cuda_kmeans_transpose,t_alloc,48,1100.996017
cuda_kmeans_transpose,t_alloc,64,1093.278885
cuda_kmeans_transpose,t_alloc,128,1098.078012
cuda_kmeans_transpose,t_alloc,238,1097.187042
cuda_kmeans_transpose,t_alloc,512,1098.124981
cuda_kmeans_transpose,t_alloc,1024,1094.29884
cuda_kmeans_transpose,t_alloc_gpu,32,1187.190056
cuda_kmeans_transpose,t_alloc_gpu,48,1187.177896
cuda_kmeans_transpose,t_alloc_gpu,64,1184.997082
cuda_kmeans_transpose,t_alloc_gpu,128,1209.073067
cuda_kmeans_transpose,t_alloc_gpu,238,1182.651997
cuda_kmeans_transpose,t_alloc_gpu,512,1194.467068
cuda_kmeans_transpose,t_alloc_gpu,1024,1177.885056
cuda_kmeans_transpose,t_get_gpu,32,238.513947
cuda_kmeans_transpose,t_get_gpu,48,239.288092
cuda_kmeans_transpose,t_get_gpu,64,238.240957
cuda_kmeans_transpose,t_get_gpu,128,239.505053
cuda_kmeans_transpose,t_get_gpu,238,238.550186
cuda_kmeans_transpose,t_get_gpu,512,239.523888
cuda_kmeans_transpose,t_get_gpu,1024,238.680124
cuda_kmeans_shared,total,32,1880.308867
cuda_kmeans_shared,total,48,1797.8971
cuda_kmeans_shared,total,64,2130.648136
cuda_kmeans_shared,total,128,2197.032928
cuda_kmeans_shared,total,238,2350.218058
cuda_kmeans_shared,total,512,2197.94488
cuda_kmeans_shared,total,1024,2200.867176
cuda_kmeans_shared,t_alloc,32,1097.91708
cuda_kmeans_shared,t_alloc,48,1094.229937
cuda_kmeans_shared,t_alloc,64,1100.162029
cuda_kmeans_shared,t_alloc,128,1093.889952
cuda_kmeans_shared,t_alloc,238,1098.934889
cuda_kmeans_shared,t_alloc,512,1094.449997
cuda_kmeans_shared,t_alloc,1024,1098.947048
cuda_kmeans_shared,t_alloc_gpu,32,1187.739849
cuda_kmeans_shared,t_alloc_gpu,48,1192.638874
cuda_kmeans_shared,t_alloc_gpu,64,1197.033167
cuda_kmeans_shared,t_alloc_gpu,128,1185.210943
cuda_kmeans_shared,t_alloc_gpu,238,1201.406956
cuda_kmeans_shared,t_alloc_gpu,512,1179.444075
cuda_kmeans_shared,t_alloc_gpu,1024,1213.228941
cuda_kmeans_shared,t_get_gpu,32,239.211798
cuda_kmeans_shared,t_get_gpu,48,238.656044
cuda_kmeans_shared,t_get_gpu,64,239.434004
cuda_kmeans_shared,t_get_gpu,128,239.117146
cuda_kmeans_shared,t_get_gpu,238,239.510059
cuda_kmeans_shared,t_get_gpu,512,238.377094
cuda_kmeans_shared,t_get_gpu,1024,239.536047
cuda_kmeans_Full-Offload-GPU,total,32,435.250044
cuda_kmeans_Full-Offload-GPU,total,48,402.372837
cuda_kmeans_Full-Offload-GPU,total,64,709.878922
cuda_kmeans_Full-Offload-GPU,total,128,821.234941
cuda_kmeans_Full-Offload-GPU,total,238,967.430115
cuda_kmeans_Full-Offload-GPU,total,512,822.859049
cuda_kmeans_Full-Offload-GPU,total,1024,823.223114
cuda_kmeans_Full-Offload-GPU,t_alloc,32,1094.552994
cuda_kmeans_Full-Offload-GPU,t_alloc,48,1097.259998
cuda_kmeans_Full-Offload-GPU,t_alloc,64,1094.040871
cuda_kmeans_Full-Offload-GPU,t_alloc,128,1097.236872
cuda_kmeans_Full-Offload-GPU,t_alloc,238,1102.278948
cuda_kmeans_Full-Offload-GPU,t_alloc,512,1097.084045
cuda_kmeans_Full-Offload-GPU,t_alloc,1024,1100.297928
cuda_kmeans_Full-Offload-GPU,t_alloc_gpu,32,1213.825941
cuda_kmeans_Full-Offload-GPU,t_alloc_gpu,48,1192.747831
cuda_kmeans_Full-Offload-GPU,t_alloc_gpu,64,1226.092815
cuda_kmeans_Full-Offload-GPU,t_alloc_gpu,128,1202.070951
cuda_kmeans_Full-Offload-GPU,t_alloc_gpu,238,1193.099976
cuda_kmeans_Full-Offload-GPU,t_alloc_gpu,512,1192.253113
cuda_kmeans_Full-Offload-GPU,t_alloc_gpu,1024,1187.896967
cuda_kmeans_Full-Offload-GPU,t_get_gpu,32,323.419094
cuda_kmeans_Full-Offload-GPU,t_get_gpu,48,324.797869
cuda_kmeans_Full-Offload-GPU,t_get_gpu,64,339.241028
cuda_kmeans_Full-Offload-GPU,t_get_gpu,128,325.002193
cuda_kmeans_Full-Offload-GPU,t_get_gpu,238,329.820156
cuda_kmeans_Full-Offload-GPU,t_get_gpu,512,325.004101
cuda_kmeans_Full-Offload-GPU,t_get_gpu,1024,329.32806
cuda_kmeans_Full-Offload-GPU + delta reduction,total,32,527.729034
cuda_kmeans_Full-Offload-GPU + delta reduction,total,48,391.908884
cuda_kmeans_Full-Offload-GPU + delta reduction,total,64,487.119913
cuda_kmeans_Full-Offload-GPU + delta reduction,total,128,829.80895
cuda_kmeans_Full-Offload-GPU + delta reduction,total,238,974.922895
cuda_kmeans_Full-Offload-GPU + delta reduction,total,512,838.458061
cuda_kmeans_Full-Offload-GPU + delta reduction,total,1024,826.023102
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc,32,1098.701
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc,48,1101.759195
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc,64,1098.830938
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc,128,1100.701094
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc,238,1099.178076
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc,512,1100.605965
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc,1024,1097.870111
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc_gpu,32,1199.075937
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc_gpu,48,1161.756992
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc_gpu,64,1183.273077
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc_gpu,128,1197.353125
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc_gpu,238,1183.192968
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc_gpu,512,1195.170164
cuda_kmeans_Full-Offload-GPU + delta reduction,t_alloc_gpu,1024,1220.946074
cuda_kmeans_Full-Offload-GPU + delta reduction,t_get_gpu,32,324.853897
cuda_kmeans_Full-Offload-GPU + delta reduction,t_get_gpu,48,329.431057
cuda_kmeans_Full-Offload-GPU + delta reduction,t_get_gpu,64,325.174093
cuda_kmeans_Full-Offload-GPU + delta reduction,t_get_gpu,128,330.038071
cuda_kmeans_Full-Offload-GPU + delta reduction,t_get_gpu,238,325.618029
cuda_kmeans_Full-Offload-GPU + delta reduction,t_get_gpu,512,328.779936
cuda_kmeans_Full-Offload-GPU + delta reduction,t_get_gpu,1024,328.062057
